step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
88,0.9996,0.0536,0.0536,0.0536,0.0498,0.2906,2499.5,0.0536,0.003185185708871619,0.0536,0.003185185708871619,0.0498,0.0030763601869742106,0.2906,0.0064210846435785295,0.0002827861382741226,0.003185185708871619
89,0.9996,0.0504,0.0504,0.0504,0.0464,0.2852,2499.5,0.0504,0.0030938597253269257,0.0504,0.0030938597253269257,0.0464,0.0029747954551531774,0.2852,0.006385310642404173,0.0002827861382741226,0.0030938597253269257
90,0.9996,0.048,0.048,0.048,0.0436,0.2784,2499.5,0.048,0.0030231109804305894,0.048,0.0030231109804305894,0.0436,0.0028878725733660756,0.2784,0.006338666105735496,0.0002827861382741226,0.0030231109804305894
91,0.9994,0.0452,0.0452,0.0452,0.0402,0.272,2499.5,0.0452,0.0029379230759160454,0.0452,0.0029379230759160454,0.0402,0.00277791144567281,0.272,0.006293107340575084,0.0003463062228721987,0.0029379230759160454
92,0.9994,0.0432,0.0432,0.0432,0.0382,0.2648,2499.5,0.0432,0.002875195993319412,0.0432,0.002875195993319412,0.0382,0.002710747498384901,0.2648,0.006239887178467252,0.0003463062228721987,0.002875195993319412
93,0.9994,0.0416,0.0416,0.0416,0.0364,0.2582,2499.5,0.0416,0.002823807358868519,0.0416,0.002823807358868519,0.0364,0.002648586037870018,0.2582,0.006189228708005546,0.0003463062228721987,0.002823807358868519
94,0.9994,0.039,0.039,0.039,0.0338,0.2512,2499.5,0.039,0.0027378458685616324,0.039,0.0027378458685616324,0.0338,0.002555682296374101,0.2512,0.006133491012465902,0.0003463062228721987,0.0027378458685616324
95,0.9994,0.0376,0.0376,0.0376,0.0314,0.243,2499.5,0.0376,0.0026902133744370537,0.0376,0.0026902133744370537,0.0314,0.0024663349326480375,0.243,0.0060654925603779285,0.0003463062228721987,0.0026902133744370537
96,0.9994,0.0358,0.0358,0.0358,0.0298,0.2378,2499.5,0.0358,0.002627483967600944,0.0358,0.002627483967600944,0.0298,0.002404660474994339,0.2378,0.006020816555916648,0.0003463062228721987,0.002627483967600944
97,0.9994,0.0344,0.0344,0.0344,0.029,0.233,2499.5,0.0344,0.0025774654216885236,0.0344,0.0025774654216885236,0.029,0.0023731413780051116,0.233,0.005978478067200716,0.0003463062228721987,0.0025774654216885236
98,0.9994,0.0334,0.0334,0.0334,0.0278,0.2284,2499.5,0.0334,0.0025410407316688176,0.0334,0.0025410407316688176,0.0278,0.002324958494253177,0.2284,0.005936892116250724,0.0003463062228721987,0.0025410407316688176
99,0.9994,0.0308,0.0308,0.0308,0.0254,0.2226,2499.5,0.0308,0.0024434140050347587,0.0308,0.0024434140050347587,0.0254,0.002225077077316649,0.2226,0.005883013513497993,0.0003463062228721987,0.0024434140050347587
100,0.999,0.0292,0.0292,0.0292,0.023,0.218,2499.5,0.0292,0.002381065307798171,0.0292,0.002381065307798171,0.023,0.0021199528296639053,0.218,0.00583910952115132,0.0004469899327725404,0.002381065307798171
101,0.999,0.0288,0.0288,0.0288,0.0216,0.2128,2499.5,0.0288,0.0023651875189929445,0.0288,0.0023651875189929445,0.0216,0.0020558910476968376,0.2128,0.0057881976469363935,0.0004469899327725404,0.0023651875189929445
102,0.9988,0.0276,0.0276,0.0276,0.0206,0.2062,2499.5,0.0276,0.0023168185082133646,0.0276,0.0023168185082133646,0.0206,0.002008762803319496,0.2062,0.005721565520030335,0.0004896039215529179,0.0023168185082133646
103,0.9986,0.0266,0.0266,0.0266,0.0196,0.2006,2499.5,0.0266,0.0022756291437754086,0.0266,0.0022756291437754086,0.0196,0.0019603999591920013,0.2006,0.0056632082779993174,0.000528779727296718,0.0022756291437754086
104,0.9986,0.0252,0.0252,0.0252,0.0182,0.1946,2499.5,0.0252,0.0022165270131446627,0.0252,0.0022165270131446627,0.0182,0.0018904369865192546,0.1946,0.005598764863789156,0.000528779727296718,0.0022165270131446627
105,0.9982,0.0242,0.0242,0.0242,0.0172,0.19,2499.5,0.0242,0.0021732169703000204,0.0242,0.0021732169703000204,0.0172,0.0018387038913321525,0.19,0.005547972602672079,0.0005994597567810576,0.0021732169703000204
106,0.998,0.023,0.023,0.023,0.0166,0.1848,2499.5,0.023,0.0021199528296639053,0.023,0.0021199528296639053,0.0166,0.0018069001079196382,0.1848,0.005489061121904182,0.0006318227599572528,0.0021199528296639053
107,0.9978,0.0218,0.0218,0.0218,0.0154,0.1796,2499.5,0.0218,0.0020651760215536106,0.0218,0.0020651760215536106,0.0154,0.0017414270010540206,0.1796,0.005428514345564539,0.0006625948988635484,0.0020651760215536106
108,0.9978,0.0206,0.0206,0.0206,0.0148,0.175,2499.5,0.0206,0.002008762803319496,0.0206,0.002008762803319496,0.0148,0.0017076861538350657,0.175,0.005373546315051169,0.0006625948988635484,0.002008762803319496
109,0.9976,0.0198,0.0198,0.0198,0.0142,0.1696,2499.5,0.0198,0.001970175626689154,0.0198,0.001970175626689154,0.0142,0.0016732220414517615,0.1696,0.005307275007006892,0.0006919884392097831,0.001970175626689154
110,0.9974,0.0194,0.0194,0.0194,0.014,0.1658,2499.5,0.0194,0.001950571198392922,0.0194,0.001950571198392922,0.014,0.0016615655268450895,0.1658,0.0052594744984646525,0.0007201722016295889,0.001950571198392922
111,0.9972,0.0184,0.0184,0.0184,0.0134,0.162,2499.5,0.0184,0.0019006020098905506,0.0184,0.0019006020098905506,0.0134,0.001626065189345126,0.162,0.005210681337406846,0.000747283078893136,0.0019006020098905506
112,0.997,0.0168,0.0168,0.0168,0.012,0.1576,2499.5,0.0168,0.0018175676053451217,0.0168,0.0018175676053451217,0.012,0.0015398701243936126,0.1576,0.005152906752503872,0.0007734339015067807,0.0018175676053451217
113,0.9968,0.0158,0.0158,0.0158,0.0114,0.1532,2499.5,0.0158,0.0017635396224638675,0.0158,0.0017635396224638675,0.0114,0.0015013354055639933,0.1532,0.005093716914002976,0.0007987189743583135,0.0017635396224638675
114,0.9968,0.0156,0.0156,0.0156,0.0106,0.1476,2499.5,0.0156,0.001752520470636506,0.0156,0.001752520470636506,0.0106,0.00144828450243728,0.1476,0.005016258366551707,0.0007987189743583135,0.001752520470636506
115,0.9966,0.0152,0.0152,0.0152,0.0098,0.143,2499.5,0.0152,0.001730257784262218,0.0152,0.001730257784262218,0.0098,0.0013931231101377939,0.143,0.004950777716682501,0.0008232180756032946,0.001730257784262218
116,0.9966,0.0152,0.0152,0.0152,0.0098,0.1394,2499.5,0.0152,0.001730257784262218,0.0152,0.001730257784262218,0.0098,0.0013931231101377939,0.1394,0.004898318895294589,0.0008232180756032946,0.001730257784262218
117,0.9966,0.0146,0.0146,0.0146,0.0088,0.1354,2499.5,0.0146,0.00169628063715884,0.0146,0.00169628063715884,0.0088,0.0013207997577225701,0.1354,0.0048387361986369955,0.0008232180756032946,0.00169628063715884
118,0.9964,0.0134,0.0134,0.0134,0.0082,0.1294,2499.5,0.0134,0.001626065189345126,0.0134,0.001626065189345126,0.0082,0.0012753634776015816,0.1294,0.004746696535486548,0.0008469994096810277,0.001626065189345126
119,0.996,0.0134,0.0134,0.0134,0.0082,0.1246,2499.5,0.0134,0.001626065189345126,0.0134,0.001626065189345126,0.0082,0.0012753634776015816,0.1246,0.004670649633616292,0.0008926365441768563,0.001626065189345126
